id;route_id;sec;location_id;lat;lng;description;activity
3795;Milan-Suzhou(North);2;20843;0.000000;0.000000;Bolzano;
3796;Hamburg-Shenyang(North);8;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3797;Malaszewicze-Shenyang(North);5;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3798;Warsaw-Shenyang(North);5;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3799;Milan-Shenyang(North);12;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3800;Milan-Suzhou(North);12;Yekaterinburg, Sverdlovsk;0.000000;0.000000;Yekaterinburg;
3801;Hamburg-Shenyang(North);10;Krasnoyarsk, Krasnoyarskiy;0.000000;0.000000;Krasnoyarsk;
3802;Malaszewicze-Shenyang(North);7;Krasnoyarsk, Krasnoyarskiy;0.000000;0.000000;Krasnoyarsk;
3803;Warsaw-Shenyang(North);7;Krasnoyarsk, Krasnoyarskiy;0.000000;0.000000;Krasnoyarsk;
3804;Milan-Shenyang(North);14;Krasnoyarsk, Krasnoyarskiy;0.000000;0.000000;Krasnoyarsk;
3805;Milan-Suzhou(North);14;Krasnoyarsk, Krasnoyarskiy;0.000000;0.000000;Krasnoyarsk;
3806;Hamburg-Shenyang(North);12;Irkutsk, Irkutsk;0.000000;0.000000;Irkutsk;
3807;Malaszewicze-Shenyang(North);9;Irkutsk, Irkutsk;0.000000;0.000000;Irkutsk;
3808;Warsaw-Shenyang(North);9;Irkutsk, Irkutsk;0.000000;0.000000;Irkutsk;
3809;Milan-Shenyang(North);16;Irkutsk, Irkutsk;0.000000;0.000000;Irkutsk;
3810;Milan-Suzhou(North);16;Irkutsk, Irkutsk;0.000000;0.000000;Irkutsk;
3811;Hamburg-Shenyang(North);13;22475;0.000000;0.000000;Ulan-Ude;
3812;Malaszewicze-Shenyang(North);10;22475;0.000000;0.000000;Ulan-Ude;
3813;Warsaw-Shenyang(North);10;22475;0.000000;0.000000;Ulan-Ude;
3814;Milan-Shenyang(North);17;22475;0.000000;0.000000;Ulan-Ude;
3815;Milan-Suzhou(North);17;22475;0.000000;0.000000;Ulan-Ude;
3816;Hamburg-Shenyang(North);14;22490;0.000000;0.000000;Chita;
3817;Malaszewicze-Shenyang(North);11;22490;0.000000;0.000000;Chita;
3818;Warsaw-Shenyang(North);11;22490;0.000000;0.000000;Chita;
